,"43"
"0","43","50"
"1","50","54"
"2","54","58"
"3","58","63"
"4","63","68"
"5","68","73"
"6","73","76"
"7","76","78"
"8","78","84"
"9","84","93"
"10","93","104"
"11","104","107"
"12","107","109"
"13","109","111"
"14","111","117"
"15","117","120"
"16","120","122"
"17","122","128"
"18","128","129"
"19","129","130"
"20","130","131"
"21","131","132"
"22","132","141"
"23","141","142"
"24","142","143"
"25","143","144"
"26","144","145"
"27","145","149"
"28","149","153"
"29","153","154"
"30","154","155"
"31","155","164"
"32","164","168"
"33","168","170"
"34","170","176"
"35","176","180"
"36","180","184"
"37","184","185"
"38","185","187"
"39","187","189"
"40","189","191"
"41","191","193"
"42","193","196"
"43","196","199"
"44","199","203"
"45","203","205"
"46","205","207"
"47","207","208"
"48","208","210"
"49","210","211"
"50","211","214"
"51","214","216"
"52","216","217"
"53","217","218"
"54","218","220"
"55","220","221"
"56","221","222"
"57","222","223"
"58","223","224"
"59","224","225"
"60","225","226"
"61","226","226"
"62","226","227"
"63","227","228"
"64","228","229"
"65","229","229"
"66","229","229"
"67","229","230"
"68","230","230"
"69","230","230"
"70","230","230"
"71","230","231"
"72","231","231"
"73","231","231"
"74","231","232"
"75","232","233"
"76","233","233"
"77","233","234"
"78","234","234"
"79","234","235"
"80","235","239"
"81","239","240"
"82","240","241"
"83","241","242"
"84","242","244"
"85","244","258"
"86","258","269"
"87","269","271"
"88","271","272"
"89","272","273"
"90","273","274"
"91","274","275"
"92","275","277"
"93","277","279"
"94","279","280"
"95","280","282"
"96","282","283"
"97","283","285"
"98","285","286"
"99","286","290"
"100","290","297"
"101","297","300"
"102","300","302"
"103","302","305"
"104","305","309"
"105","309","311"
"106","311","312"
"107","312","316"
"108","316","318"
"109","318","320"
"110","320","321"
"111","321","324"
"112","324","326"
"113","326","328"
"114","328","332"
"115","332","333"
"116","333","336"
"117","336","338"
"118","338","341"
"119","341","342"
"120","342","343"
"121","343","343"
"122","343","344"
"123","344","345"
"124","345","345"
"125","345","345"
"126","345","346"
"127","346","346"
"128","346","347"
"129","347","349"
"130","349","350"
"131","350","352"
"132","352","352"
"133","352","352"
"134","352","353"
"135","353","355"
"136","355","358"
"137","358","385"
"138","385","390"
"139","390","392"
"140","392","398"
"141","398","400"
"142","400","403"
"143","403","410"
"144","410","423"
"145","423","426"
"146","426","431"
"147","431","433"
"148","433","435"
"149","435","437"
"150","437","442"
"151","442","446"
"152","446","448"
"153","448","449"
"154","449","451"
"155","451","452"
"156","452","453"
"157","453","454"
"158","454","456"
"159","456","457"
"160","457","459"
"161","459","460"
"162","460","462"
"163","462","463"
"164","463","464"
"165","464","467"
"166","467","468"
"167","468","472"
"168","472","472"
"169","472","473"
"170","473","474"
"171","474","475"
"172","475","477"
"173","477","478"
"174","478","478"
"175","478","480"
"176","480","483"
"177","483","483"
"178","483","485"
"179","485","486"
"180","486","488"
"181","488","490"
"182","490","493"
"183","493","497"
"184","497","501"
"185","501","504"
"186","504","508"
"187","508","513"
"188","513","519"
"189","519","522"
"190","522","526"
"191","526","531"
"192","531","553"
"193","553","561"
"194","561","562"
"195","562","564"
"196","564","566"
"197","566","569"
"198","569","572"
"199","572","575"
"200","575","576"
"201","576","577"
"202","577","578"
"203","578","579"
"204","579","580"
"205","580","583"
"206","583","585"
"207","585","586"
"208","586","589"
"209","589","592"
"210","592","594"
"211","594","596"
"212","596","599"
"213","599","600"
"214","600","602"
"215","602","605"
"216","605","606"
"217","606","608"
"218","608","609"
"219","609","610"
"220","610","611"
"221","611","614"
"222","614","617"
"223","617","623"
"224","623","582"
"225","582","628"
"226","628","633"
"227","633","634"
"228","634","637"
"229","637","641"
"230","641","642"
"231","642","645"
"232","645","646"
"233","646","662"
"234","662","667"
"235","667","668"
"236","668","670"
"237","670","673"
"238","673","677"
"239","677","678"
"240","678","679"
"241","679","680"
"242","680","683"
"243","683","684"
"244","684","686"
"245","686","689"
"246","689","692"
"247","692","694"
"248","694","698"
"249","698","703"
"250","703","705"
"251","705","707"
"252","707","709"
"253","709","713"
"254","713","717"
"255","717","721"
"256","721","722"
"257","722","727"
"258","727","730"
"259","730","733"
"260","733","734"
"261","734","735"
"262","735","738"
"263","738","743"
"264","743","745"
"265","745","747"
"266","747","750"
"267","750","754"
"268","754","757"
"269","757","759"
"270","759","760"
"271","760","762"
"272","762","765"
"273","765","770"
"274","770","772"
"275","772","774"
"276","774","776"
"277","776","777"
"278","777","778"
"279","778","782"
"280","782","783"
"281","783","785"
"282","785","789"
"283","789","793"
"284","793","794"
"285","794","796"
"286","796","798"
"287","798","800"
"288","800","801"
"289","801","805"
"290","805","807"
"291","807","809"
"292","809","810"
"293","810","811"
"294","811","812"
"295","812","816"
"296","816","817"
"297","817","819"
"298","819","822"
"299","822","824"
"300","824","825"
"301","825","827"
"302","827","830"
"303","830","833"
"304","833","835"
"305","835","845"
"306","845","848"
"307","848","850"
"308","850","852"
"309","852","853"
"310","853","855"
"311","855","857"
"312","857","863"
"313","863","865"
"314","865","866"
"315","866","872"
"316","872","874"
"317","874","876"
"318","876","880"
"319","880","885"
"320","885","888"
"321","888","890"
"322","890","893"
"323","893","896"
"324","896","900"
"325","900","902"
"326","902","904"
"327","904","910"
"328","910","912"
"329","912","915"
"330","915","917"
"331","917","918"
"332","918","919"
"333","919","921"
"334","921","922"
"335","922","924"
"336","924","927"
"337","927","930"
"338","930","931"
"339","931","932"
"340","932","937"
"341","937","940"
"342","940","942"
"343","942","944"
"344","944","945"
"345","945","946"
"346","946","948"
"347","948","949"
"348","949","951"
"349","951","952"
"350","952","955"
"351","955","957"
"352","957","959"
"353","959","960"
"354","960","963"
"355","963","965"
"356","965","970"
"357","970","972"
"358","972","975"
"359","975","978"
"360","978","980"
"361","980","981"
"362","981","985"
"363","985","986"
"364","986","988"
"365","988","989"
"366","989","989"
"367","989","994"
"368","994","997"
"369","997","998"
"370","998","1000"
"371","1000","1001"
"372","1001","1003"
"373","1003","1004"
"374","1004","1007"
"375","1007","1011"
"376","1011","1014"
"377","1014","1020"
"378","1020","1036"
"379","1036","1041"
"380","1041","1052"
"381","1052","1056"
"382","1056","1061"
"383","1061","1063"
"384","1063","1070"
"385","1070","1074"
"386","1074","1078"
"387","1078","1081"
"388","1081","1089"
"389","1089","1091"
"390","1091","1094"
"391","1094","1097"
"392","1097","1098"
"393","1098","1099"
"394","1099","1100"
"395","1100","1104"
"396","1104","1106"
"397","1106","1109"
"398","1109","1111"
"399","1111","1112"
"400","1112","1117"
"401","1117","1119"
"402","1119","1120"
"403","1120","1121"
"404","1121","1122"
"405","1122","1123"
"406","1123","1125"
"407","1125","1127"
"408","1127","1130"
"409","1130","1131"
"410","1131","1137"
"411","1137","1139"
"412","1139","1143"
"413","1143","1147"
"414","1147","1150"
"415","1150","1157"
"416","1157","1162"
"417","1162","1166"
"418","1166","1169"
"419","1169","1171"
"420","1171","1174"
"421","1174","1177"
"422","1177","1180"
"423","1180","1185"
"424","1185","1186"
"425","1186","1187"
"426","1187","1190"
"427","1190","1201"
"428","1201","1202"
"429","1202","1203"
"430","1203","1206"
"431","1206","1220"
"432","1220","1225"
"433","1225","1231"
"434","1231","1239"
"435","1239","1243"
"436","1243","1248"
"437","1248","1254"
"438","1254","1257"
"439","1257","1258"
